"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Hardisty Light","MBL","2018-05-16","MBL-010","Hardisty","875.5","30","1.67","4.7","286.2","0.6","3.9","14.6","31.6","0.42","4.8","2.71","3.51","4.04","4.28","3.65","1.79","0.03","0.16","0.12","0.41","0.24","3.19","1.94","2.66","3.17","3.45","3.01","1.5","0.03","0.16","0.12","0.41","","","","","","","","","","","","",""
"Hardisty Light","MBL","2018-04-10","MBL-003","Hardisty","872.7","30.5","1.72","5.9","","0.41","","20.4","44.9","0.43","5.42","4.5","4.18","4.08","3.99","3.31","1.64","0.07","0.2","0.12","0.4","0.24","3.61","3.24","3.18","3.21","3.23","2.73","1.38","0.07","0.2","0.12","0.4","34.5","62.7","138.2","225.1","291.9","353","417.1","485.3","572.5","685.5","","",""
"Hardisty Light","MBL","2018-03-04","MBL-049","Hardisty","872.1","30.6","1.51","4.9","","0.36","","13.4","31.4","0.35","4.41","3.53","4.01","4.39","4.42","3.69","1.8","0.05","0.17","0.12","0.44","0.2","2.94","2.54","3.05","3.46","3.58","3.05","1.51","0.05","0.17","0.12","0.44","","","","","","","","","","","","",""
"Hardisty Light","MBL","2018-02-08","MBL-029","Hardisty","876.9","29.7","1.46","5","259.9","0.34","6.4","15.5","30.4","0.41","3.67","2.45","3.46","4.12","4.39","3.68","1.71","0.03","0.15","0.12","0.43","0.23","2.43","1.75","2.62","3.23","3.54","3.03","1.43","0.03","0.15","0.12","0.43","","","","","","","","","","","","",""
"Hardisty Light","MBL","2017-12-06","MBL-042","Hardisty","866.6","31.6","1.35","4.5","","0.59","","13.2","28.5","0.35","6.27","3.12","3.87","4.36","4.42","4.12","1.9","0.04","0.13","0.09","0.29","0.2","4.21","2.26","2.96","3.46","3.6","3.43","1.61","0.04","0.13","0.09","0.29","38","83","171.1","247.8","310.9","366.4","418.5","474.5","547.6","648.2","","",""
"Hardisty Light","MBL","2017-11-17","MBL-579","Hardisty","856.8","33.5","1.04","3.9","204.2","0.31","13.2","10.6","20.7","0.32","5.44","2.77","4.15","4.86","4.95","4.24","2.04","0.03","0.15","0.13","0.45","0.19","3.69","2.03","3.21","3.9","4.08","3.57","1.75","0.03","0.15","0.13","0.46","","","","","","","","","","","","",""
"Hardisty Light","MBL","2017-05-24","MBL-100","Hardisty","864.4","32.1","1.27","3.8","158.1","0.49","6.5","11.3","22.9","0.38","5.7","2.34","3.73","4.41","4.55","3.55","1.72","0.03","0.17","0.12","0.45","0.22","3.84","1.7","2.86","3.51","3.72","2.96","1.46","0.03","0.17","0.12","0.45","","","","","","","","","","","","",""
"Hardisty Light","MBL","2017-04-08","MBL-112","Hardisty","872.4","30.6","1.51","4.5","","0.68","","14.7","30.6","0.31","4.38","3.36","4.14","4.39","4.34","3.34","1.59","0.04","0.16","0.11","0.41","0.18","2.92","2.42","3.15","3.46","3.51","2.76","1.34","0.04","0.16","0.11","0.41","","","","","","","","","","","","",""
"Hardisty Light","MBL","2017-03-04","MBL-063","Hardisty","874.8","30.1","1.49","5.2","","0.62","","16.7","31.9","0.31","4.37","3.3","4.1","4.38","4.4","3.44","1.62","0.04","0.18","0.12","0.48","0.18","2.91","2.37","3.11","3.44","3.55","2.84","1.36","0.04","0.18","0.12","0.48","51.1","100.8","190.6","267.9","329.6","384.1","432.6","502.2","583.7","705.1","","",""
"Hardisty Light","MBL","2017-02-12","MBL-074","Hardisty","870","31","1.47","4.7","216.4","0.59","16.9","15.7","32.9","0.31","5.07","3.46","4.5","4.95","5.01","4.29","1.77","0.04","0.18","0.13","0.51","0.18","3.39","2.5","3.43","3.91","4.07","3.56","1.49","0.04","0.18","0.13","0.51","","","","","","","","","","","","",""
"Hardisty Light","MBL","2017-01-19","MBL-096","Hardisty","878.2","29.5","1.69","5.4","","0.66","","18.8","39","0.3","4.27","3.41","4.05","4.29","4.21","3.49","1.46","0.04","0.17","0.11","0.42","0.17","2.83","2.44","3.06","3.36","3.39","2.87","1.22","0.04","0.17","0.11","0.41","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-12-30","MBL-075","Hardisty","868.1","31.4","1.27","5.2","","0.51","","15.8","35","0.33","4.48","3.97","4.41","4.55","4.46","3.75","1.76","0.05","0.18","0.11","0.48","0.19","3","2.87","3.37","3.6","3.63","3.12","1.49","0.05","0.18","0.11","0.48","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-10-09","MBL-060","Hardisty","867","31.6","1.35","4.9","","0.47","","18","36","0.26","4.38","3.92","4.55","4.69","4.58","3.77","1.67","0.05","0.17","0.11","0.45","0.15","2.94","2.84","3.48","3.72","3.73","3.14","1.41","0.05","0.17","0.11","0.45","36.1","79","164.6","244","308.1","365","421.4","495.4","575.9","682.5","","",""
"Hardisty Light","MBL","2016-09-08","MBL-241","Hardisty","866.2","31.7","1.34","5.5","","0.5","","18","37","0.28","4.21","4.22","5.11","5.02","4.81","3.79","1.63","0.06","0.22","0.13","0.52","0.16","2.83","3.06","3.91","3.98","3.92","3.16","1.38","0.06","0.22","0.13","0.52","","","","","","","","","","","","",""
