"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Midale","MSM","2019-09-09","MSM-050","Cromer","862.7","32.4","2.16","5.1","","0.17","","11.3","21","0.34","4.41","2.58","5.23","5.2","5.51","4.4","2.48","0.79","1.02","0.56","0.54","0.2","2.98","1.88","4.02","4.14","4.51","3.68","2.11","0.81","1.03","0.56","0.54","","","","","","","","","","","","",""
"Midale","MSM","2019-08-10","MSM-045","Cromer","863.4","32.2","2.2","5.2","","ND","","11.7","21.6","0.31","4.76","2.59","5.05","5","5.33","4.43","2.24","0.71","0.95","0.54","0.51","0.18","3.22","1.89","3.88","3.98","4.36","3.7","1.9","0.73","0.96","0.54","0.51","61.5","102.1","166.4","226.3","287","346.7","409","478.3","568","702.7","","",""
"Midale","MSM","2019-07-13","MSM-040","Cromer","861.4","32.6","2.17","5.1","426.1","0.14","7.7","12.1","21.7","0.36","4.86","2.77","5.51","5.44","5.65","4.45","2.47","0.83","1.06","0.58","0.53","0.21","3.29","2.02","4.24","4.34","4.63","3.73","2.1","0.85","1.07","0.59","0.53","","","","","","","","","","","","",""
"Midale","MSM","2019-03-23","MSM-020","Cromer","862.6","32.4","2.26","5.2","","0.12","","12.8","23.8","0.33","4.58","3.01","5.49","5.46","5.68","3.97","2.26","0.81","1.06","0.57","0.55","0.19","3.1","2.19","4.22","4.35","4.65","3.32","1.92","0.83","1.07","0.58","0.55","","","","","","","","","","","","",""
"Midale","MSM","2019-02-16","MSM-012","Cromer","863","32.3","2.21","5.2","","0.1","","12.6","23.5","0.38","4.42","2.65","5.33","5.37","5.66","4.19","2.58","0.78","1.04","0.57","0.55","0.22","2.99","1.93","4.1","4.28","4.63","3.5","2.19","0.8","1.05","0.58","0.55","71","100.9","166.5","227.5","289.6","350.8","416.6","485.9","579.3","","","",""
"Midale","MSM","2019-01-16","MSM-004","Cromer","863.3","32.3","2.12","5.1","375.3","0.27","40.4","11.6","23.8","0.36","4.62","2.62","5.13","5.01","5.28","4.28","2.3","0.75","0.98","0.54","0.56","0.21","3.12","1.91","3.94","3.99","4.32","3.58","1.95","0.77","0.99","0.54","0.56","","","","","","","","","","","","",""
"Midale","MSM","2018-12-11","MSM-840","Cromer","864.8","32","2.2","5.1","","0.29","","12.7","24.8","0.36","4.52","2.39","4.8","4.76","5.06","4.06","2.26","0.68","0.89","0.49","0.53","0.21","3.05","1.74","3.68","3.78","4.13","3.38","1.92","0.69","0.9","0.49","0.53","","","","","","","","","","","","",""
"Midale","MSM","2018-11-12","MSM-076","Cromer","866.1","31.7","2.33","5.3","","0.2","","17.4","30.6","0.33","4.66","2.48","5.07","4.93","5.21","4.02","2.15","0.77","0.98","0.55","0.54","0.19","3.14","1.8","3.88","3.91","4.25","3.35","1.82","0.79","0.99","0.55","0.54","54","98.5","156.1","213.9","270","327.8","387.7","448.5","523.2","627.7","703.5","",""
"Midale","MSM","2018-10-16","MSM-068","Cromer","860.6","32.8","2.23","5","490","0.13","9.2","12","22.2","0.33","4.64","2.35","4.75","4.66","4.91","4.08","2.26","0.73","0.95","0.51","0.51","0.19","3.15","1.72","3.66","3.72","4.03","3.42","1.93","0.75","0.96","0.52","0.51","","","","","","","","","","","","",""
"Midale","MSM","2018-09-30","MSM-064","Cromer","862.3","32.4","2.31","5.1","","ND","","12.5","22.8","0.31","4.84","1.89","4.2","4.2","4.32","3.16","1.6","0.66","0.86","0.46","0.42","0.18","3.28","1.38","3.23","3.35","3.54","2.64","1.36","0.68","0.87","0.46","0.42","","","","","","","","","","","","",""
