"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Light Smiley","MSY","2019-07-02","MSY-586","Kerrobert","832.7","38.3","0.19","2.2","3.2","2.6","0.32","6.31","3.54","4.88","5.79","5.68","4.78","2.51","0.05","0.18","0.12","0.47","0.19","4.41","2.67","3.89","4.78","4.82","4.14","2.21","0.05","0.19","0.13","0.49","","","","","","","","","","","","",""
"Light Smiley","MSY","2019-06-01","MSY-273","Kerrobert","836.4","37.5","0.2","2.4","3.1","2.3","0.35","6.42","1.97","3.87","5.15","5.17","4.48","2.08","0.01","0.11","0.11","0.37","0.21","4.46","1.48","3.07","4.23","4.37","3.86","1.82","0.01","0.11","0.11","0.38","","","","","","","","","","","","",""
"Light Smiley","MSY","2019-05-01","MSY-229","Kerrobert","836","37.6","0.19","2.2","2.9","2","0.32","6.25","1.95","4.06","5.61","5.85","5.09","2.45","0.01","0.12","0.12","0.41","0.19","4.35","1.47","3.22","4.61","4.94","4.39","2.15","0.01","0.13","0.12","0.43","50.3","100.2","161.8","223.1","278.2","329.6","385.9","443.8","516.6","621.4","708.2","",""
"Light Smiley","MSY","2019-04-02","MSY-313","Kerrobert","835.9","37.6","0.19","2.2","2.6","2","0.3","6.15","2.05","4.11","5.44","5.56","4.5","2.43","0.01","0.14","0.12","0.43","0.18","4.27","1.54","3.26","4.47","4.7","3.88","2.13","0.01","0.15","0.12","0.45","","","","","","","","","","","","",""
"Light Smiley","MSY","2019-03-02","MSY-279","Kerrobert","836.3","37.5","0.2","2.1","3","2.3","0.3","5.72","1.88","3.77","4.96","5.09","4.14","2.27","0.01","0.12","0.12","0.41","0.18","3.98","1.41","2.99","4.08","4.3","3.57","1.99","0.01","0.13","0.12","0.43","","","","","","","","","","","","",""
"Light Smiley","MSY","2019-02-01","MSY-071","Kerrobert","837.3","37.3","0.2","2.2","3.3","2.5","0.27","5.8","2.15","4.1","5.41","5.52","4.76","2.36","0.02","0.13","0.12","0.42","0.16","4.03","1.61","3.25","4.44","4.66","4.1","2.07","0.02","0.14","0.12","0.44","33.7","82.1","144.3","206.1","265.1","318.6","378.3","439.3","513.7","627.2","","",""
"Light Smiley","MSY","2019-01-01","MSY-313","Kerrobert","835.9","37.6","0.19","2.3","2.8","2.3","0.28","6.13","1.93","3.87","5.19","5.31","4.65","2.25","0.01","0.12","0.12","0.41","0.17","4.26","1.45","3.07","4.27","4.49","4.01","1.97","0.01","0.13","0.12","0.43","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-12-02","MSY-302","Kerrobert","841.4","36.5","0.34","2.6","4.7","6.6","0.29","5.76","2.08","3.93","5.1","5.31","4.77","2.16","0.02","0.14","0.13","0.45","0.17","3.98","1.55","3.1","4.17","4.46","4.09","1.88","0.02","0.14","0.13","0.46","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-11-02","MSY-529","Kerrobert","841","36.6","0.27","2.4","4.3","4.6","0.27","5.06","1.92","3.88","5.24","5.38","4.64","2.33","0.02","0.14","0.13","0.44","0.16","3.5","1.43","3.06","4.28","4.52","3.98","2.03","0.02","0.14","0.13","0.45","70.4","103.6","166","227.7","283.8","335.1","393.5","453.4","528.8","643.4","","",""
"Light Smiley","MSY","2018-10-02","MSY-511","Kerrobert","835.3","37.7","0.22","2.3","3.1","2.8","0.28","5.15","1.8","3.56","4.74","4.84","4.11","2.14","0.01","0.12","0.11","0.41","0.17","3.59","1.35","2.83","3.9","4.09","3.55","1.88","0.01","0.13","0.11","0.43","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-09-02","MSY-135","Kerrobert","835.9","37.6","0.19","2.1","3.1","1.9","0.27","5.36","1.83","3.88","5.3","5.57","4.98","2.34","0.01","0.13","0.13","0.47","0.16","3.73","1.38","3.08","4.36","4.7","4.3","2.05","0.01","0.14","0.14","0.49","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-08-02","MSY-434","Kerrobert","837","37.4","0.22","1.9","4","2.6","0.3","5.4","1.98","3.84","5.09","5.39","4.62","2.33","0.02","0.14","0.12","0.47","0.18","3.75","1.49","3.04","4.18","4.55","3.98","2.04","0.02","0.15","0.12","0.49","48.2","100.2","156.9","215.2","269.3","322.2","379.5","437.9","512.1","615.7","695.8","",""
"Light Smiley","MSY","2018-07-02","MSY-318","Kerrobert","843.6","36.1","0.38","2.8","5","7.7","0.27","5.12","2.11","3.68","4.88","5.03","4.57","2.19","0.02","0.09","0.1","0.27","0.16","3.54","1.57","2.9","3.98","4.21","3.91","1.9","0.02","0.09","0.1","0.28","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-06-02","MSY-585","Kerrobert","840.5","36.7","0.2","2.2","3.2","2.4","0.23","4.17","1.96","3.93","5.34","5.57","5.14","2.44","0.02","0.1","0.11","0.33","0.14","2.89","1.47","3.1","4.37","4.68","4.41","2.13","0.02","0.1","0.11","0.34","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-05-03","MSY-189","Kerrobert","840.7","36.7","0.26","2.1","4.1","4.5","0.27","5.1","2.1","4.03","5.38","5.56","4.94","2.37","0.02","0.12","0.12","0.39","0.16","3.53","1.57","3.18","4.4","4.67","4.24","2.07","0.02","0.12","0.12","0.4","66.8","100.3","164.5","222.8","278.7","330.5","387.8","446.2","516.5","619.7","698.4","",""
"Light Smiley","MSY","2018-04-03","MSY-029","Kerrobert","843","36.2","0.44","2.8","5.3","9.8","0.34","5.84","2.66","4.17","5.27","5.37","4.58","2.33","0.03","0.14","0.12","0.46","0.2","4.03","1.98","3.28","4.3","4.5","3.92","2.03","0.03","0.14","0.12","0.47","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-03-01","MSY-480","Kerrobert","836.1","37.6","0.31","2.4","3.5","5.4","0.33","5.92","3.32","4.59","5.56","5.63","4.76","2.37","0.04","0.14","0.12","0.44","0.2","4.12","2.49","3.64","4.57","4.76","4.11","2.08","0.04","0.15","0.12","0.46","","","","","","","","","","","","",""
"Light Smiley","MSY","2018-02-04","MSY-006","Kerrobert","835.9","37.6","0.21","2.1","3.3","2.5","0.28","5.76","2.04","4.07","5.53","5.79","5.06","2.46","0.02","0.14","0.13","0.48","0.17","4.01","1.53","3.23","4.55","4.89","4.36","2.16","0.02","0.15","0.14","0.5","34.8","75.4","139.1","204.4","261.9","315.8","376.4","438.3","516.8","623.9","704.5","",""
