"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Conventional Heavy","CHV","2019-09-05","CHV-936","Superior","936.6","19.5","3.27","11.1","","1.18","","52.4","121","","0.07","1.71","7.03","4.93","3.56","2.25","1.44","","0.14","0.34","0.03","0.4","0.04","1.07","4.72","3.49","2.61","1.7","1.11","-","0.13","0.32","0.03","0.37","36.1","86.1","194.9","306.7","385.4","448.6","505.9","569.2","643.1","","","",""
"Conventional Heavy","CHV","2019-08-02","CHV-786","Superior","929.6","20.6","3.47","10.2","","1.01","","51.9","127","","0.07","1.6","5.56","3.71","2.23","1.37","1.38","","0.12","0.28","0.02","0.08","0.04","1","3.76","2.65","1.65","1.04","1.07","-","0.11","0.26","0.02","0.07","49.2","99.2","241.2","327.1","397.9","461.3","528.2","604.4","693.3","","","",""
"Conventional Heavy","CHV","2019-07-04","CHV-866","Superior","929.2","20.7","3.76","9.8","182.9","","9.9","57.3","140","","0.06","1.61","7.6","4.38","3.6","1.82","1.12","","0.14","0.29","0.03","0.33","0.03","1.01","5.14","3.13","2.66","1.38","0.87","-","0.13","0.27","0.03","0.31","36.1","86.1","216.6","314.5","384.2","447.8","515.8","594.3","684","","","",""
"Conventional Heavy","CHV","2019-06-02","CHV-777","Superior","925.8","21.2","3.42","9.9","","1.1","","51.4","120","","0.07","2.37","5.4","3.98","3.08","1.52","1.03","","0.13","0.29","0.03","0.34","0.04","1.49","3.66","2.85","2.29","1.16","0.8","-","0.12","0.27","0.03","0.32","36.1","100.9","233.5","321.9","393.4","457.5","525.7","604.9","696.5","","","",""
"Conventional Heavy","CHV","2019-05-22","CHV-963","Superior","922.2","21.8","3.6","9.6","","1.1","","55.6","141","","0.07","2.18","3.03","4.23","2.87","1.71","1.06","","0.14","0.29","0.03","0.34","0.04","1.38","2.76","3.04","2.14","1.31","0.83","-","0.13","0.27","0.03","0.32","36.1","76.7","214","311.9","381.2","443.8","513.4","595.3","688.8","","","",""
"Conventional Heavy","CHV","2019-04-04","CHV-902","Superior","925.2","21.3","3.33","9.8","210.8","1.12","18.5","43.9","110","ND","0.04","1.13","7.84","3.86","3.16","1.3","0.85","","0.13","0.21","0.05","0.26","0.02","0.71","5.32","2.77","2.35","0.99","0.66","-","0.12","0.2","0.05","0.24","36.1","90","231.8","320.9","392.8","457","526.6","607.1","696.8","","","",""
"Conventional Heavy","CHV","2019-03-04","CHV-825","Superior","923.2","21.6","3.63","9.9","","1","","51.2","124","","0.07","2.12","5.27","3.88","2.94","1.79","1.19","","0.1","0.26","0.03","0.35","0.04","1.34","3.59","2.79","2.19","1.37","0.93","-","0.1","0.25","0.03","0.33","38.3","97","231","320.6","394.9","461.2","533.5","618.1","710.1","","","",""
"Conventional Heavy","CHV","2019-02-08","CHV-999","Superior","922.4","21.8","3.48","9.6","","1.1","","49.9","125","","0.07","1.74","5.43","4.21","3.39","1.83","1.24","","0.13","0.29","0.07","0.38","0.04","1.1","3.7","3.03","2.53","1.4","0.97","-","0.12","0.27","0.07","0.36","54.2","100.9","246.8","328.9","396.3","457.8","524","598.5","686.9","","","",""
"Conventional Heavy","CHV","2019-01-04","CHV-697","Superior","921.8","21.9","3.52","9.6","242.1","1.27","11.8","51.1","136","","0.09","1.66","5.84","4.61","3.46","2.05","1.16","","0.15","0.36","0.06","0.4","0.05","1.05","3.98","3.32","2.58","1.57","0.91","-","0.14","0.34","0.06","0.38","36.1","99.2","225.9","315.2","386.4","451.5","521.8","603.8","697","","","",""
"Conventional Heavy","CHV","2018-12-05","CHV-600","Superior","924.6","21.4","3.5","9.4","","1.23","","50.4","123","","0.13","2.96","5.27","4.21","3.28","2.12","1.26","","0.13","0.31","0.07","0.41","0.07","1.87","3.58","3.02","2.44","1.62","0.98","-","0.12","0.29","0.07","0.38","36.1","99.2","251.7","330.2","397.1","457.7","524.7","603.5","692.9","","","",""
