"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Conventional Heavy","CHV","2015-10-15","CHV-614","Superior","935.6","19.6","3.2","10.4","230.3","1.04","19.4","45","108","","0.07","2.61","5.15","3","1.91","1.39","0.93","0.43","0.06","0.08","0.02","0.08","0.04","1.63","3.46","2.13","1.4","1.05","0.72","0.34","0.06","0.07","0.02","0.07","37","116.9","273","351.9","419.3","482.3","551.4","628.8","714.2","","","",""
"Conventional Heavy","CHV","2015-09-03","CHV-697","Superior","935.6","19.6","3.66","9.7","","1.07","","54","138","ND","0.07","2.19","3.93","2.93","2.37","2.24","1.83","0.71","0.08","0.16","0.08","0.24","0.04","1.37","2.64","2.08","1.74","1.69","1.41","0.56","0.08","0.15","0.07","0.22","40.8","119.1","252.6","325.3","390.4","449.9","516.6","590.6","672.2","","","",""
"Conventional Heavy","CHV","2015-08-05","CHV-775","Superior","932.9","20.1","3.68","9.9","","1.05","25.4","58","135","","0.09","1.94","5.17","3.7","2.59","1.93","1.4","0.65","0.12","0.21","0.05","0.24","0.05","1.21","3.48","2.63","1.91","1.46","1.08","0.51","0.11","0.2","0.05","0.22","45.2","119.4","265.8","342.2","411.5","475.5","548.9","631.5","713.3","","","",""
"Conventional Heavy","CHV","2015-07-30","CHV-784","Superior","934.9","19.7","4.12","9.5","104.7","1.1","","58","154","","0.07","1.71","3.71","3.31","2.77","2.62","2.07","0.93","0.1","0.24","0.09","0.36","0.04","1.07","2.49","2.35","2.04","1.98","1.6","0.73","0.09","0.22","0.08","0.33","66.9","134.6","252","329","401.5","469.9","546","631.2","713.3","","","",""
"Conventional Heavy","CHV","2015-07-05","CHV-763","Superior","933.8","19.9","4.24","9","","1.11","","55","147","","0.11","2.16","2.69","2.94","2.92","2.99","2.36","1.02","0.1","0.28","0.11","0.44","0.06","1.35","1.81","2.09","2.15","2.26","1.82","0.8","0.09","0.26","0.1","0.41","80.3","147.6","249.3","320.6","389.1","454.9","525.8","606.3","687.6","","","",""
"Conventional Heavy","CHV","2015-06-10","CHV-717","Superior","928.1","20.8","3.71","9.2","229.8","1.04","","55","135","","0.07","2.13","4.67","3.74","3","2.58","1.81","0.84","0.13","0.31","0.09","0.39","0.04","1.34","3.16","2.67","2.22","1.96","1.41","0.66","0.12","0.29","0.08","0.36","39.7","110.3","245.8","323.9","392.4","457.8","533.2","616.9","709.7","","","",""
"Conventional Heavy","CHV","2015-06-06","CHV-618","Superior","931.6","20.3","4.06","9","","1.15","10.6","57","150","","0.11","1.95","3.37","3.43","3.21","3.13","2.22","1","0.12","0.33","0.12","0.48","0.06","1.22","2.27","2.44","2.37","2.37","1.72","0.79","0.11","0.31","0.11","0.45","52.5","130.2","243.5","316.7","383.2","447.8","521.5","603","693.3","","","",""
"Conventional Heavy","CHV","2015-05-04","CHV-977","Superior","927","21","3.61","9.2","","1.02","","50","128","","0.11","2.48","4.81","3.72","2.97","2.62","1.93","0.88","0.12","0.29","0.1","0.36","0.06","1.56","3.26","2.66","2.2","2","1.5","0.7","0.11","0.27","0.09","0.34","41.2","110.6","240.8","319.3","387.6","450.8","521.1","599.5","691.3","","","",""
"Conventional Heavy","CHV","2015-04-09","CHV-803","Superior","926.5","21.1","3.82","9.3","","1.13","14.2","54","147","","0.11","2.18","5.15","4.04","3.18","2.82","2.05","0.83","0.13","0.29","0.1","0.38","0.06","1.37","3.49","2.89","2.36","2.15","1.6","0.66","0.12","0.27","0.09","0.36","62.6","121.9","242.4","318.6","386.4","450.3","516.7","593.4","676.9","","","",""
"Conventional Heavy","CHV","2015-04-08","CHV-837","Superior","925.4","21.3","3.25","9.6","325.4","1.06","","48","125","","0.09","1.99","6.49","4.34","2.8","2.21","1.68","0.69","0.14","0.23","0.07","0.27","0.05","1.25","4.4","3.11","2.08","1.69","1.31","0.55","0.13","0.22","0.07","0.25","47.5","113.5","253.9","330.6","398.8","460","526","602.8","687.4","","","",""
"Conventional Heavy","CHV","2015-03-20","CHV-711","Superior","924.8","21.4","2.87","9.4","","0.98","","42","107","","0.09","1.6","6.52","4.18","2.61","2.06","1.69","0.67","0.13","0.21","0.06","0.23","0.05","1.01","4.42","3","1.94","1.57","1.32","0.53","0.12","0.2","0.06","0.22","46.2","127.9","263","339.7","409.4","472.5","542.8","625.5","718.3","","","",""
"Conventional Heavy","CHV","2015-02-04","CHV-966","Superior","922.7","21.7","3.25","9.6","136.3","1.01","","49","116","","0.09","1.61","6.32","4.42","2.68","2.05","1.55","0.65","0.15","0.25","0.06","0.28","0.05","1.02","4.3","3.18","2","1.57","1.21","0.52","0.14","0.24","0.06","0.26","39.5","98.4","257.4","340.9","414.1","482","560.8","650.2","","","","",""
"Conventional Heavy","CHV","2015-02-03","CHV-969","Superior","923","21.7","3.54","9.2","","1.09","10","49","121","","0.14","2.08","5.55","4.2","2.9","2.42","1.77","0.76","0.14","0.28","0.08","0.34","0.07","1.31","3.78","3.02","2.16","1.85","1.38","0.6","0.13","0.26","0.08","0.32","56.1","130.6","253.7","331.6","401","464.1","535.7","616.1","700.5","","","",""
"Conventional Heavy","CHV","2015-01-05","CHV-774","Superior","926.4","21.1","3.94","9.2","","1.07","","57","147","","0.09","1.83","3.85","3.42","3.09","3.27","2.44","1.06","0.08","0.11","0.05","0.35","0.05","1.15","2.61","2.45","2.29","2.49","1.9","0.84","0.08","0.1","0.05","0.33","41.8","105.5","222.9","307.1","379.4","448.2","521.5","605.6","695.3","","","",""
"Conventional Heavy","CHV","2014-12-09","CHV-786","Superior","928.5","20.8","3.36","9.8","","1.02","","47","116","","0.09","2.07","6.44","3.86","2.32","1.71","1.38","0.62","0.11","0.17","0.05","0.15","0.05","1.3","4.36","2.76","1.72","1.3","1.07","0.49","0.1","0.16","0.05","0.14","46.6","143.4","268.5","344","400.2","471.7","540.3","618","706","","","",""
"Conventional Heavy","CHV","2014-11-19","CHV-903","Superior","930.5","20.4","3.52","9.8","","1.08","","49","124","","0.07","1.67","6.27","3.9","2.54","1.91","1.5","0.63","0.12","0.2","0.06","0.18","0.04","1.05","4.23","2.78","1.88","1.45","1.16","0.5","0.11","0.19","0.06","0.17","40.5","99.9","251","333.8","391.8","468.5","541.9","624.8","714.9","","","",""
"Conventional Heavy","CHV","2014-11-10","CHV-651","Superior","930.2","20.5","3.97","9.8","179.8","1.1","13.5","58","143","","0.07","1.74","6.57","4.43","2.98","2.08","1.32","0.56","0.16","0.29","0.06","0.29","0.04","1.09","4.43","3.16","2.2","1.58","1.02","0.44","0.15","0.27","0.06","0.27","39.2","98.7","262.2","347","415.7","492.6","571.4","655.1","","","","",""
"Conventional Heavy","CHV","2014-10-30","CHV-811","Superior","932.8","20.1","3.53","9.2","","1.05","","48","124","","0.07","1.61","5.5","3.28","2.31","1.99","1.69","0.7","0.08","0.14","0.07","0.17","0.04","1.01","3.7","2.33","1.7","1.51","1.31","0.55","0.08","0.13","0.07","0.16","43.4","135.1","256.5","336.4","401.7","475.2","553","640.8","","","","",""
"Conventional Heavy","CHV","2014-10-15","CHV-835","Superior","932.9","20.1","3.34","9.8","","1.01","","48","113","","0.07","2.11","6.1","3.14","1.97","1.56","1.28","0.55","0.07","0.11","0.04","0.12","0.04","1.32","4.1","2.23","1.45","1.18","0.99","0.43","0.07","0.1","0.04","0.11","39.6","124.1","265.9","345.2","409.1","479.5","553.9","638.8","","","","",""
"Conventional Heavy","CHV","2014-09-12","CHV-987","Superior","931.8","20.2","3.89","9.1","","","","56","145","","0.09","1.66","3.6","3.19","2.78","2.64","2.03","0.81","0.11","0.24","0.1","0.33","0.05","1.04","2.43","2.27","2.05","2","1.57","0.64","0.1","0.22","0.09","0.31","77.7","142.5","238.5","314.5","378.5","443","511.2","587.5","668.8","","","",""
"Conventional Heavy","CHV","2014-09-10","CHV-819","Superior","932.2","20.2","3.77","9.4","148.4","","14.3","55","140","","0.09","1.63","4.14","3.55","2.94","2.73","2.02","0.83","0.12","0.26","0.11","0.32","0.05","1.02","2.79","2.53","2.17","2.07","1.56","0.65","0.11","0.24","0.1","0.3","75.7","148.6","258.5","334.9","401.3","468.2","542.5","627.5","712","","","",""
"Conventional Heavy","CHV","2014-08-27","CHV-966","Superior","931.3","20.3","3.37","9.8","","1.24","15.6","50","119","","0.07","2.14","5.14","3.21","2.11","1.67","1.33","0.55","0.11","0.17","0.06","0.19","0.04","1.34","3.47","2.29","1.56","1.27","1.03","0.43","0.1","0.16","0.06","0.18","107","187","284.3","350.1","408.5","467.6","528.6","597.5","671.9","","","",""
"Conventional Heavy","CHV","2014-08-15","CHV-895","Superior","931.3","20.3","3.6","9.5","19.5","1.36","","53","134","","0.07","1.63","4.25","3.5","2.74","2.41","1.78","0.74","0.12","0.25","0.09","0.32","0.04","1.02","2.87","2.49","2.02","1.83","1.38","0.58","0.11","0.23","0.08","0.3","59.2","133.2","255.3","332.1","392.2","456.3","522.1","597.9","679.5","","","",""
"Conventional Heavy","CHV","2014-07-19","CHV-833","Superior","932.5","20.1","3.73","9.5","","1.03","","52","130","","0.07","1.49","4.89","3.7","2.62","2.26","1.62","0.85","0.13","0.22","0.09","0.26","0.04","0.93","3.29","2.63","1.93","1.71","1.25","0.67","0.12","0.21","0.08","0.24","88","159.5","273.4","350.3","419.9","490.7","567.2","651.6","","","","",""
"Conventional Heavy","CHV","2014-07-05","CHV-734","Superior","927.5","20.9","3.92","9.2","","1.11","","54","135","","0.04","1.36","3.95","3.55","2.9","2.7","1.92","0.97","0.13","0.26","0.11","0.32","0.02","0.86","2.68","2.54","2.15","2.06","1.49","0.77","0.12","0.24","0.1","0.3","56.3","136.5","260.9","344.2","416.5","491.8","573.8","664.4","","","","",""
"Conventional Heavy","CHV","2014-06-23","CHV-786","Superior","930.2","20.5","3.91","9.2","","1.17","","53","139","","0.07","1.7","3.92","3.45","2.86","2.67","1.92","0.99","0.14","0.28","0.11","0.35","0.04","1.07","2.65","2.46","2.11","2.03","1.49","0.78","0.13","0.26","0.1","0.33","69.5","137.9","251.4","329.7","401.8","468.7","545","633.2","","","","",""
"Conventional Heavy","CHV","2014-06-16","CHV-659","Superior","931.8","20.2","3.57","9.3","","1.05","","48","126","","0.07","1.52","5.15","3.88","2.67","2.18","1.56","0.81","0.15","0.26","0.09","0.29","0.04","0.95","3.47","2.76","1.97","1.65","1.21","0.64","0.14","0.24","0.08","0.27","60.5","132.4","262","339.7","411.1","477","552.9","639.4","","","","",""
"Conventional Heavy","CHV","2014-05-22","CHV-617","Superior","925.4","21.3","3.44","9.7","312.9","0.75","","50","121","ND","0.11","2.24","5.29","4.53","2.96","2.53","1.72","0.88","0.13","0.27","0.09","0.32","0.06","1.41","3.59","3.25","2.2","1.93","1.34","0.7","0.12","0.25","0.08","0.3","44.1","107","234.9","321.4","394.3","457.7","526.9","603.5","691.6","","","",""
"Conventional Heavy","CHV","2014-05-17","CHV-601","Superior","926.4","21.1","3.51","9.5","","0.91","15.9","54","137","","0.07","1.54","6.02","4.3","2.92","2.31","1.55","0.82","0.17","0.32","0.07","0.33","0.04","0.97","4.08","3.08","2.17","1.76","1.21","0.65","0.16","0.3","0.07","0.31","45.7","108.6","237","315.7","381.7","443.5","519","604.3","694.9","","","",""
