"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Federated","FD","2019-07-06","FD-647","Edmonton","821.9","40.5","0.32","1.4","3","4.5","0.62","4.57","2.86","5.44","7.56","7.9","7.31","3.24","0.16","0.59","0.25","0.95","0.37","3.24","2.19","4.39","6.32","6.79","6.41","2.89","0.17","0.63","0.26","1","65.1","98.5","145.2","188.7","236.8","291","343.7","407.4","479.1","600.4","","",""
"Federated","FD","2019-06-05","FD-640","Edmonton","818.7","41.2","0.2","1.1","1.7","1.5","0.64","4.51","2.92","5.47","7.54","7.7","6.9","3.22","0.17","0.64","0.24","0.96","0.38","3.21","2.24","4.43","6.33","6.65","6.08","2.89","0.18","0.68","0.26","1.02","","","","","","","","","","","","",""
"Federated","FD","2019-05-03","FD-632","Edmonton","822.9","40.3","0.35","1.7","3.5","6.3","0.47","4.25","2.62","5.06","7.28","7.7","6.84","3.44","0.19","0.67","0.26","1.05","0.28","3.01","2","4.08","6.08","6.61","5.99","3.06","0.2","0.71","0.28","1.11","","","","","","","","","","","","",""
"Federated","FD","2019-04-15","FD-629","Edmonton","820.7","40.8","0.27","1.5","2.4","3.6","0.34","3.12","2.17","4.4","6.48","7.3","8.1","4.99","0.15","0.56","0.25","0.98","0.21","2.22","1.66","3.56","5.43","6.29","7.12","4.46","0.16","0.59","0.27","1.04","69.6","98.9","143.3","174.2","202.1","257.3","315.5","379.5","450.5","552.6","658.3","",""
"Federated","FD","2019-03-11","FD-624","Edmonton","822.5","40.4","0.2","1.2","1.6","1.4","0.47","2.09","2.62","5.44","7.8","8.16","7.11","3.51","0.21","0.73","0.26","1.13","0.28","1.48","2","4.39","6.52","7.01","6.24","3.13","0.23","0.77","0.28","1.19","","","","","","","","","","","","",""
"Federated","FD","2019-02-11","FD-618","Edmonton","825.8","39.7","0.32","1.9","4.7","4.8","0.36","3.74","2.43","5.28","7.11","8.02","6.82","3.75","0.17","0.61","0.31","1.28","0.22","2.64","1.85","4.24","5.91","6.86","5.95","3.33","0.18","0.64","0.33","1.34","","","","","","","","","","","","",""
"Federated","FD","2019-01-07","FD-612","Edmonton","817.8","41.4","0.22","1.2","2.1","3","0.29","3.67","2.93","5.25","7.23","7.71","7.97","3.9","0.19","0.67","0.25","1.09","0.18","2.62","2.25","4.26","6.07","6.66","7.03","3.5","0.21","0.71","0.27","1.16","61.4","94","142.4","176.1","215.5","266.7","320.7","382.3","450.8","556","664.5","",""
"Federated","FD","2018-12-10","FD-608","Edmonton","827.7","39.3","0.42","1.9","5.1","9","0.64","4.62","2.67","5.2","7.21","7.58","6.47","3.22","0.19","0.65","0.26","1.02","0.38","3.25","2.03","4.17","5.99","6.47","5.64","2.85","0.2","0.68","0.27","1.07","","","","","","","","","","","","",""
"Federated","FD","2018-11-05","FD-603","Edmonton","820.7","40.8","0.36","1.6","4.4","7.5","0.54","4.51","3.08","5.52","7.61","7.84","7","3.6","0.19","0.69","0.24","1.05","0.32","3.2","2.36","4.46","6.38","6.75","6.16","3.22","0.2","0.73","0.25","1.11","","","","","","","","","","","","",""
"Federated","FD","2018-10-08","FD-598","Edmonton","818.7","41.2","0.36","1.5","4.1","7.7","0.57","4.3","3.01","5.1","6.98","7.27","6.33","2.77","0.19","0.66","0.24","1.04","0.34","3.06","2.31","4.13","5.86","6.28","5.58","2.48","0.21","0.7","0.26","1.1","50.5","90.3","138.5","178.4","225.6","277.3","328.3","388","454.2","553.2","645.3","",""
"Federated","FD","2018-09-07","FD-593","Edmonton","821.4","40.6","0.34","1.6","3.7","6.1","0.5","4.61","2.79","5.25","7.24","7.76","6.7","3.18","0.17","0.62","0.26","1.06","0.3","3.27","2.14","4.24","6.06","6.67","5.88","2.84","0.18","0.66","0.28","1.12","","","","","","","","","","","","",""
