"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Moose Jaw Tops","MJT","2018-07-07","MJT-023","Regina","812.6","42.5","1.44","0.2","0.8","2.3","0.18","2.22","5.68","9.21","9.88","11.91","9.63","3.8","0.17","0.65","0.56","1.26","0.11","1.6","4.39","7.52","8.36","10.36","8.55","3.43","0.18","0.7","0.6","1.35","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2018-05-07","MJT-019","Regina","819.9","40.9","1.55","","","","0.21","5.42","5.46","7.72","8.04","9.29","7.61","3.45","0.15","0.51","0.4","0.86","0.13","3.86","4.18","6.24","6.74","8","6.69","3.08","0.16","0.54","0.42","0.91","37.5","64.5","106.2","148.7","216.5","301.7","345.1","379.4","413.4","498","","",""
"Moose Jaw Tops","MJT","2018-03-07","MJT-009","Regina","811.3","42.8","1.46","0.3","2.4","6.6","0.18","6.26","4.16","8.23","9.36","11.69","9.64","4.48","0.14","0.59","0.54","1.2","0.11","4.51","3.22","6.73","7.93","10.18","8.57","4.05","0.15","0.63","0.58","1.28","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2018-01-20","MJT-003","Regina","814.5","42.1","1.41","0.1","0.8","1.5","0.16","5.02","6.29","8.59","8.76","9.97","7.94","3.67","0.19","0.64","0.44","1.11","0.1","3.6","4.85","7","7.39","8.65","7.03","3.31","0.21","0.68","0.47","1.18","47.1","80.3","115.7","156","203.3","309.5","353.5","383.8","411.7","444.4","486","",""
"Moose Jaw Tops","MJT","2017-03-15","MJT-009","Regina","814.6","42.1","1.38","0.1","0.5","0.9","0.13","3.98","3.32","6.52","7.56","9.34","8.06","3.83","0.11","0.5","0.45","0.96","0.08","2.85","2.56","5.31","6.38","8.1","7.14","3.45","0.12","0.53","0.48","1.02","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2016-09-12","MJT-030","Regina","821.5","40.6","1.43","ND","ND","1","0.13","2.14","4.56","7.74","8.53","10.06","8.31","3.6","0.18","0.66","0.46","1.17","0.08","1.52","3.49","6.25","7.14","8.65","7.3","3.21","0.19","0.7","0.49","1.24","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2016-03-13","MJT-012","Regina","810.9","42.9","1.24","0.1","ND","2","0.14","4.13","3.43","6.66","7.66","9.61","8.57","3.49","0.11","0.44","0.43","0.92","0.09","2.97","2.66","5.45","6.49","8.37","7.62","3.15","0.12","0.47","0.46","0.98","48.5","76.2","129.5","159.1","202.7","253.8","291.4","326.6","364.9","411.7","455.6","",""
"Moose Jaw Tops","MJT","2016-01-13","MJT-000","Regina","814.6","42.1","1.32","ND","ND","1","0.1","3.23","4.45","7.6","8.63","10.37","8.79","4.33","0.17","0.64","0.46","1.16","0.06","2.32","3.43","6.19","7.29","9","7.79","3.9","0.18","0.68","0.49","1.24","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2015-11-10","MJT-046","Regina","822","40.5","1.48","0.1","ND","1","0.13","2.42","5.53","8.38","8.94","10.55","8.65","3.79","0.18","0.65","0.5","1.16","0.08","1.72","4.22","6.76","7.47","9.06","7.59","3.38","0.19","0.69","0.53","1.22","45.9","76.2","139.7","169.4","202","308.3","353.4","384.6","412.9","447.6","509.9","",""
"Moose Jaw Tops","MJT","2015-10-29","MJT-044","Regina","834.1","38","1.7","0.2","1","3","0.1","1.73","4.33","7.42","8.19","10.39","9.57","3.87","0.09","0.39","0.48","0.82","0.06","1.21","3.26","5.9","6.75","8.8","8.27","3.4","0.1","0.41","0.5","0.85","48.9","91.7","140.4","172.1","215.5","322.4","363.1","392","417.4","447.7","480.5","",""
"Moose Jaw Tops","MJT","2015-05-17","MJT-022","Regina","824.7","39.9","1.36","0.4","2","5","0.11","2.57","2.59","5.22","6.24","8.31","8.06","3.47","0.07","0.31","0.37","0.76","0.07","1.82","1.97","4.2","5.2","7.12","7.05","3.09","0.08","0.33","0.39","0.8","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2015-03-11","MJT-000","Regina","822.9","40.3","1.37","0.1","ND","2","0.13","3.25","3.27","5.82","6.67","8.36","7.61","3.24","0.11","0.44","0.39","0.85","0.08","2.3","2.5","4.69","5.57","7.17","6.67","2.89","0.12","0.47","0.41","0.9","54.1","111.8","162.9","187.4","224.5","271.4","316.1","354.4","389.8","431.5","524","",""
"Moose Jaw Tops","MJT","2015-01-07","MJT-001","Regina","818.9","41.2","1.46","0.1","ND","1","0.13","3.56","6.87","8.54","8.82","10","9.07","3.28","0.19","0.59","0.37","0.79","0.08","2.54","5.27","6.92","7.4","8.62","7.99","2.94","0.2","0.63","0.39","0.84","41.3","71.1","132.8","164.6","211.7","328","365.4","393.7","419.6","455.9","526.9","",""
"Moose Jaw Tops","MJT","2014-11-14","MJT-038","Regina","821.7","40.6","1.44","0.1","ND","2","0.15","2.47","4.21","8.55","10.05","11.75","9.37","3.32","0.2","0.74","0.52","1.28","0.09","1.76","3.22","6.91","8.41","10.11","8.23","2.96","0.22","0.78","0.55","1.35","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2014-10-08","MJT-034","Regina","828.5","39.2","1.59","0.1","ND","1","0.13","2.61","6.94","8.34","8.71","10.15","8.45","2.91","0.16","0.58","0.45","1.06","0.08","1.84","5.26","6.68","7.23","8.66","7.36","2.58","0.17","0.61","0.47","1.11","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2014-09-13","MJT-031","Regina","828.1","39.2","1.55","0.1","ND","1","0.16","2.55","5.56","8.65","9.38","10.86","8.79","3.27","0.2","0.67","0.49","1.12","0.1","1.8","4.22","6.93","7.78","9.26","7.66","2.9","0.21","0.7","0.52","1.17","","","","","","","","","","","","",""
"Moose Jaw Tops","MJT","2014-08-16","MJT-028","Regina","828.9","39.1","1.55","0.1","ND","2","0.15","2.24","4.65","8.2","9.3","11.12","8.99","3.64","0.17","0.62","0.49","1.16","0.09","1.58","3.52","6.56","7.71","9.47","7.82","3.22","0.18","0.65","0.51","1.21","55","92.3","143.4","170.8","270.1","343.1","374.3","401.8","428.3","474.7","","",""
"Moose Jaw Tops","MJT","2014-07-17","MJT-025","Regina","833","38.2","1.46","0.1","ND","2","0.15","2.56","4.99","8.55","9.59","11.4","9.19","3.81","0.18","0.65","0.49","1.2","0.09","1.8","3.76","6.81","7.91","9.66","7.96","3.35","0.19","0.68","0.51","1.25","","","","","","","","","","","","",""
